professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0111,김정민,,Seoul National University,응용바이오공학과,,,http://klab.snu.ac.kr,0009-0008-7314-3105,verified,
P0112,박원철,Woncheoul Park,Seoul National University,응용바이오공학과,Genetics,A5103239031;A5122311601;A5129781797;A5134932704,http://nmec.snu.ac.kr,0000-0003-3140-5628,verified,
P0113,이원종,Wonjong Rhee,Seoul National University,응용바이오공학과,,A5125744415,http://drl.snu.ac.kr,,probable,
P0114,이윤상,Yun‐Sang Lee,Seoul National University,응용바이오공학과; 분자의학및바이오제약학과,"Radiology, Nuclear Medicine and Imaging",A5041206730;A5127675950,https://snucm.elsevierpure.com/en/persons/y-lee-21,0000-0003-1640-2090,verified,
P0115,이은봉,Eun Bong Lee,Seoul National University,응용바이오공학과; 분자의학및바이오제약학과,Rheumatology,A5024958150;A5109420195;A5041989255;A5132708595,http://mmbs.snu.ac.kr/bbs/board.php?bo_table=Research_20,0000-0003-0703-1208,verified,
P0116,이중식,Jung‐Sik Lee,Seoul National University,응용바이오공학과; 자유전공학부 바로가기,Psychiatry and Mental health,A5107600322,http://ux.snu.ac.kr,,probable,
P0118,이하람,Haram Lee,Seoul National University,자유전공학부 바로가기,Speech and Hearing,A5058430979,https://cls.snu.ac.kr/snu__professor/%ec%9d%b4%ed%95%98%eb%9e%8c/,0000-0001-6703-2128,probable,
P0119,현재환,Jaehwan Hyun,Seoul National University,자유전공학부 바로가기,Cultural Studies,A5014642075,https://sites.google.com/view/jhwanhyun/cv,0000-0002-2447-7546,verified,
P0120,황지수,Jisoo Hwang,Seoul National University,자유전공학부 바로가기,,A5123870006,https://www.jisoohwang.com/,,probable,
P0121,강민석,Min-Seok Gang,Seoul National University,자유전공학부 바로가기,Plant Science,A5078330127,https://minsuk.com,0000-0003-3616-0375,verified,
